catalog_number,title_en,artist_name,format,disc_count,has_dvd,actual_price,estimated_price,shop_url,release_date
AC001,,Unknown,CD,1,false,14,14,https://shop.avanticlassic.com/products/fire-dance-roby-lakatos-1-cd,
AC002,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/the-prokofiev-project-polina-leschenko-1-hybrid-sacd,
AC003,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/recital-schumann-liszt-pedro-burmester-1-hybrid-sacd,
AC004,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/schumann-the-violin-sonatas-and-fantasiestucke-dora-schwarzberg-polina-leschenoko-1-hybrid-sacd,
AC005,,Unknown,CD,1,false,14,14,https://shop.avanticlassic.com/products/klezmer-karma-roby-lakatos-1-cd,
AC006,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/recital-franck-debussy-schumann-dora-schwarzberg-martha-argerich-1-hybrid-sacd,
AC007,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/liszt-recital-polina-leschenko-1-hybrid-sacd,
AC008,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/recital-adriel-gomez-mansur-1-hybrid-sacd,
AC009,,Unknown,Hybrid SACD,1,true,18,16,https://shop.avanticlassic.com/products/la-belle-epoque-sergio-tiempo-karin-lechner-1-hybrid-sacd-bonus-dvd,
AC010,,Unknown,CD,1,false,16,14,https://shop.avanticlassic.com/products/roby-lakatos-with-musical-friends-roby-lakatos-1-cd-1-bonus-cd,
AC011,,Unknown,CD,1,false,14,14,https://shop.avanticlassic.com/products/anthology-of-a-yiddishe-mama-myriam-fuks-1-cd,
AC012,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/goldberg-variations-alexander-gurning-1-hybrid-sacd,
AC013,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/liszt-totentanz-tchaikovsky-piano-concerto-sergio-tiempo-1-hybrid-sacd,
AC014,,Unknown,Hybrid SACD,1,true,16,16,https://shop.avanticlassic.com/products/tango-rhapsody-sergio-tiempo-karin-lechner-1-hybrid-sacd-bonus-dvd,
AC015,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/forgotten-melodies-polina-leschenko-1-hybrid-sacd,
AC016,,Unknown,Hybrid SACD,1,true,16,16,https://shop.avanticlassic.com/products/bruch-mendelssohn-violin-concertos-beethoven-romances-philippe-quint-1-hybrid-sacd-bonus-dvd,
AC017,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/recital-haendel-brahms-bach-liszt-francesco-piemontesi-1-hybrid-sacd,
AC018,,Unknown,2 CD,2,false,20,20,https://shop.avanticlassic.com/products/la-passion-roby-lakatos-2-cd,
AC019,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/opera-breve-philippe-quint-lily-maisky-1-hybrid-sacd,
AC020,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/ver-bin-ikh-myriam-fuks-1-hybrid-sacd,
AC021,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/tchaikovsky-violin-concerto-arensky-quintet-philippe-quint-1-hybrid-sacd,
AC022,,Unknown,Hybrid SACD,1,false,15,16,https://shop.avanticlassic.com/products/the-four-seasons-roby-lakatos-1-hybrid-sacd,
AC023,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/bach-xxi-matt-herskovitz-trio-philippe-quint-1-hybrid-sacd,
AC024,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/khachaturian-glazunov-violin-concertos-philippe-quint-1-hybrid-sacd,
AC025,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/homilia-manu-comte-b-strings-quintet-1-hybrid-sacd,
AC026,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/legacy-sergio-tiempo-1-hybrid-sacd,
AC027,,Unknown,Hybrid SACD,1,false,16,16,https://shop.avanticlassic.com/products/tribute-to-stephane-django-roby-lakatos-bireli-lagrene-1-hybrid-sacd,
AC028,,Unknown,CD,1,false,49,14,https://shop.avanticlassic.com/products/rendez-vous-with-martha-argerich-martha-argerich-7cd,
AC029,,Unknown,Unknown,1,false,14,16,https://shop.avanticlassic.com/products/morgen-evgeni-bozhanov,
AC030,,Unknown,Unknown,1,false,14,16,https://shop.avanticlassic.com/products/peacock,
AC031,,Unknown,Unknown,1,false,45,16,https://shop.avanticlassic.com/products/rendez-vous-with-martha-argerich-volume-2,
AC032,,Unknown,Unknown,1,false,14,16,https://shop.avanticlassic.com/products/sonatas-op-120-four-serious-songs-op-121,
AC033,,Unknown,Unknown,1,false,20,16,https://shop.avanticlassic.com/products/wunderhorn,
AC034,,Unknown,Unknown,1,false,16,16,https://shop.avanticlassic.com/products/martha-argerich-plays-beethoven-ravel,2023-03-24
AC035,,Unknown,Unknown,1,false,16,16,https://shop.avanticlassic.com/products/hommage-sergio-tiempo,2023-09-01
AC036,,Unknown,7 CD,7,false,55,70,https://shop.avanticlassic.com/products/rendez-vous-with-martha-argerich-volume-3-7-cd,
AC037,,Unknown,CD,1,false,16,14,https://shop.avanticlassic.com/products/world-tangos-odyssey-1-cd,2024-10-31
